name,code,command,description,agent
"design-thinking","design-thinking","kratos-design-thinking","Guide human-centered design process","creative-ideation"
"innovation-strategy","innovation","kratos-innovation","Identify disruption opportunities","creative-comms"
"problem-solving","problem-solving","kratos-problem-solving","Apply systematic problem-solving","creative-ideation"
"storytelling","storytelling","kratos-storytelling","Craft compelling narratives","creative-comms"
"slide-deck","slide-deck","kratos-slide-deck","Create presentation slide deck","creative-comms"
"pitch-deck","pitch-deck","kratos-pitch-deck","Create investor/partner pitch deck","creative-comms"
"creative-sprint","creative-sprint","kratos-creative-sprint","Multi-agent creative pipeline","orchestrator"
